Format Version,1.23,Take Name,Alza_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-12-02 12.25.22.852 PM,Capture Start Frame,2634524,Total Frames in Take,10514,Total Exported Frames,10514,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Cup:Marker1,Cup:Marker1,Cup:Marker1,Cup:Marker2,Cup:Marker2,Cup:Marker2,Cup:Marker3,Cup:Marker3,Cup:Marker3,Cup:Marker4,Cup:Marker4,Cup:Marker4,Cup:Marker5,Cup:Marker5,Cup:Marker5,Cup:Marker6,Cup:Marker6,Cup:Marker6
,ID,"DDD70","DDD70","DDD70","DDD90","DDD90","DDD90","DDD60","DDD60","DDD60","DDD80","DDD80","DDD80","DE540","DE540","DE540","DDD50","DDD50","DDD50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,0.219444,0.206160,0.138178,0.053228,0.138558,0.142432,0.053399,0.230534,0.139302,0.171810,0.142004,0.145157,0.179694,0.228637,0.136879,0.099332,0.243075,0.137767,0.131049
80,0.222222,0.206442,0.137651,0.052985,0.138560,0.142442,0.053410,0.230530,0.139319,0.171812,0.142005,0.145162,0.179693,0.228630,0.136870,0.099345,0.243088,0.137784,0.131055
81,0.225000,,,,,,,,,,,,,,,,,,
82,0.227778,0.206431,0.137649,0.052956,0.138555,0.142441,0.053411,0.230533,0.139306,0.171818,0.142011,0.145173,0.179682,0.228625,0.136896,0.099358,0.243094,0.137778,0.131055
83,0.230556,0.207303,0.140002,0.053159,0.138567,0.142432,0.053401,0.230536,0.139292,0.171818,0.142003,0.145184,0.179674,0.228624,0.136914,0.099343,0.243096,0.137765,0.131048
84,0.233333,,,,,,,,,,,,,,,,,,
85,0.236111,0.207306,0.139988,0.053148,0.138564,0.142445,0.053403,0.230553,0.139304,0.171820,0.142007,0.145185,0.179661,0.228637,0.136889,0.099322,0.243086,0.137775,0.131041
86,0.238889,0.207288,0.139994,0.053147,0.138552,0.142454,0.053377,0.230541,0.139307,0.171804,0.142004,0.145183,0.179650,0.228621,0.136901,0.099336,0.243081,0.137774,0.131044
87,0.241667,,,,,,,,,,,,,,,,,,
88,0.244444,0.206438,0.137656,0.052938,0.138539,0.142457,0.053379,0.230544,0.139303,0.171797,0.141999,0.145195,0.179663,0.228670,0.136855,0.099328,0.243064,0.137780,0.131048
89,0.247222,0.207283,0.139989,0.053145,0.138557,0.142449,0.053381,0.230534,0.139328,0.171799,0.141981,0.145189,0.179662,0.228688,0.136854,0.099310,0.243091,0.137777,0.131035
90,0.250000,,,,,,,,,,,,,,,,,,
91,0.252778,0.207292,0.139995,0.053145,0.138564,0.142445,0.053380,0.230526,0.139312,0.171797,0.141994,0.145171,0.179652,0.228667,0.136860,0.099309,0.243077,0.137769,0.131033
92,0.255556,0.207290,0.139985,0.053151,0.138554,0.142445,0.053379,0.230520,0.139310,0.171798,0.142005,0.145172,0.179662,0.228660,0.136858,0.099309,0.243085,0.137771,0.131050
93,0.258333,,,,,,,,,,,,,,,,,,
94,0.261111,0.207274,0.139982,0.053155,0.138563,0.142426,0.053390,0.230523,0.139321,0.171794,0.141981,0.145168,0.179668,0.228641,0.136874,0.099317,0.243061,0.137767,0.131048
95,0.263889,0.207292,0.140007,0.053154,0.138549,0.142424,0.053399,0.230529,0.139302,0.171814,0.141995,0.145164,0.179666,0.228682,0.136826,0.099299,0.243090,0.137758,0.131048
96,0.266667,,,,,,,,,,,,,,,,,,
97,0.269444,0.207300,0.139992,0.053149,0.138567,0.142407,0.053386,0.230518,0.139324,0.171797,0.141996,0.145159,0.179674,0.228652,0.136850,0.099315,0.243077,0.137757,0.131054
98,0.272222,0.207302,0.139980,0.053151,0.138562,0.142427,0.053405,0.230524,0.139311,0.171799,0.141993,0.145156,0.179683,0.228650,0.136851,0.099327,0.243067,0.137769,0.131036
99,0.275000,,,,,,,,,,,,,,,,,,
100,0.277778,0.207289,0.139993,0.053154,0.138565,0.142412,0.053415,0.230548,0.139309,0.171806,0.141998,0.145156,0.179696,0.228675,0.136857,0.099321,0.243075,0.137767,0.131054
101,0.280556,0.207318,0.139991,0.053142,0.138570,0.142426,0.053414,0.230525,0.139299,0.171831,0.141998,0.145149,0.179692,0.228660,0.136848,0.099332,0.243083,0.137771,0.131041
102,0.283333,,,,,,,,,,,,,,,,,,
103,0.286111,0.206431,0.137610,0.052973,0.138563,0.142408,0.053435,0.230542,0.139282,0.171814,0.142003,0.145145,0.179715,0.228619,0.136904,0.099348,0.243101,0.137758,0.131031
104,0.288889,0.206171,0.138154,0.053235,0.137520,0.143609,0.054112,0.230547,0.139281,0.171806,0.141995,0.145140,0.179706,0.225107,0.139573,0.103702,0.243089,0.137763,0.131047
105,0.291667,,,,,,,,,,,,,,,,,,
106,0.294444,0.207313,0.139966,0.053148,0.138560,0.142399,0.053422,0.230563,0.139270,0.171810,0.141997,0.145150,0.179696,0.228622,0.136915,0.099350,0.243102,0.137737,0.131041
107,0.297222,0.206167,0.138162,0.053227,0.138567,0.142417,0.053411,0.230560,0.139284,0.171818,0.141998,0.145149,0.179704,0.228645,0.136868,0.099343,0.243106,0.137759,0.131029
108,0.300000,0.206175,0.138141,0.053237,0.138562,0.142419,0.053406,0.230566,0.139271,0.171807,0.142001,0.145146,0.179689,0.228601,0.136912,0.099351,0.243109,0.137740,0.131024
109,0.302778,,,,,,,,,,,,,,,,,,
110,0.305556,,,,,,,,,,,,,,,,,,
111,0.308333,0.207309,0.139957,0.053126,0.138546,0.142431,0.053400,0.230569,0.139272,0.171822,0.141997,0.145149,0.179682,0.228655,0.136868,0.099324,0.243104,0.137741,0.131029
112,0.311111,,,,,,,,,,,,,,,,,,
113,0.313889,,,,,,,,,,,,,,,,,,
114,0.316667,0.207315,0.139953,0.053138,0.138575,0.142416,0.053395,0.230570,0.139287,0.171823,0.141986,0.145172,0.179662,0.228623,0.136890,0.099309,0.243095,0.137757,0.131030
115,0.319444,,,,,,,,,,,,,,,,,,
116,0.322222,,,,,,,,,,,,,,,,,,
117,0.325000,0.207289,0.139970,0.053145,0.138558,0.142437,0.053377,0.230541,0.139283,0.171809,0.141982,0.145171,0.179646,0.228645,0.136868,0.099327,0.243078,0.137763,0.131040
